MLBCODE,full_name
400181,Ryan Drese
276541,Dave Elder
276510,Alex Escobar
114465,Travis Fryman
114588,Karim Garcia
115263,Ricky Gutierrez
407789,Alex Herrera
342992,Greg LaRocca
117566,Matt Lawton
424324,Cliff Lee
285072,Chris Magruder
400121,Victor Martinez
150348,John McDonald
119488,Terry Mulholland
119640,Charles Nagy
406301,Chad Paronto
120407,Eddie Perez
408252,Brandon Phillips
339492,Jerrod Riggan
228594,David Riske
400156,Ricardo Rodriguez
282332,CC Sabathia
424725,Carl Sadler
121985,Bill Selby
400123,Roy Smith
407897,Earl Snyder
122765,Lee Stevens
425226,Brian Tallet
123272,Jim Thome
123744,Omar Vizquel
150414,Jake Westbrook
124233,Bob Wickman
124498,Mark Wohlers
124605,Jaret Wright
110015,Paul Abbott
110503,James Baldwin
217100,Willie Bloomquist
111214,Bret Boone
111232,Pat Borders
111904,Mike Cameron
112297,Jeff Cirillo
150034,Doug Creek
150433,Ben Davis
211041,Ryan Franklin
150119,Freddy Garcia
133420,Charles Gipson
136722,Carlos Guillen
134280,John Halama
115586,Shigetoshi Hasegawa
400086,Justin Kaye
118365,Edgar Martinez
421024,Julio Mateo
118808,Mark McLemore
219194,Gil Meche
119469,Jamie Moyer
119704,Jeff Nelson
119948,Jose Offerman
119976,John Olerud
334492,Joel Pineiro
121058,Desi Relaford
121125,Arthur Rhodes
277408,Kazuhiro Sasaki
150444,Wascar Serrano
122218,Ruben Sierra
421684,Chris Snelling
400089,Rafael Soriano
400085,Ichiro Suzuki
407818,Aaron Taylor
407899,Luis Ugueto
123595,Ismael Valdez
124383,Dan Wilson
110682,Tony Batista
407400,Rick Bauer
407853,Erik Bedard
406933,Larry Bigbie
111234,Mike Bordick
111496,Chris Brock
112077,Raul Casanova
408201,Howie Clark
112559,Jeff Conine
112682,Marty Cordova
346868,Sean Douglass
150344,Travis Driskill
276511,Eric DuBose
113884,Scott Erickson
114309,Brook Fordyce
408202,Luis C. Garcia
400158,Jay Gibbons
282594,Geronimo Gil
115183,Buddy Groom
150020,Jerry Hairston
