season,player,pitch_type,total_times,swin_time,single,double,triple,home_run,score
2010,121074,SF,22,12,1,0,0,0,0.07416666666666667
2010,121074,SL,159,75,5,0,0,1,0.08733333333333335
2010,121096,FB,9,4,0,0,0,0,0.1407142857142857
2010,121096,SL,4,3,0,0,0,0,0.1407142857142857
2010,121250,FB,3,2,0,0,0,0,0.1407142857142857
2010,121347,CB,176,53,4,3,1,1,0.2092452830188679
2010,121347,CH,242,141,8,3,1,2,0.11879432624113476
2010,121347,CT,172,71,4,2,0,1,0.11549295774647884
2010,121347,FB,1472,676,59,18,0,25,0.1891568047337278
2010,121347,KN,16,8,1,0,0,0,0.11125
2010,121347,SF,27,12,1,0,0,0,0.07416666666666667
2010,121347,SL,367,137,8,5,0,1,0.11364963503649632
2010,121358,CB,133,64,4,1,0,2,0.14109375000000002
2010,121358,CH,116,72,9,3,0,1,0.19333333333333333
2010,121358,CT,93,48,4,2,0,0,0.12708333333333333
2010,121358,FB,832,458,48,9,1,0,0.12176855895196505
2010,121358,KN,15,8,1,1,0,0,0.27
2010,121358,SF,31,22,3,0,0,1,0.2168181818181818
2010,121358,SL,221,135,14,2,0,0,0.1111111111111111
2010,121409,CB,153,55,3,5,0,2,0.2403636363636364
2010,121409,CH,227,111,6,4,2,4,0.1987387387387388
2010,121409,CT,120,50,3,1,0,1,0.1208
2010,121409,FB,1328,589,56,20,0,11,0.1669609507640068
2010,121409,SF,24,12,2,0,0,0,0.14833333333333334
2010,121409,SL,315,136,8,4,1,2,0.1325
2010,122644,CB,26,12,0,0,0,0,0.1407142857142857
2010,122644,CH,75,43,4,0,0,0,0.0827906976744186
2010,122644,CT,7,2,0,0,0,0,0.1407142857142857
2010,122644,FB,289,114,5,3,0,5,0.1645614035087719
2010,122644,SF,7,4,0,1,0,0,0.3175
2010,122644,SL,64,28,2,2,0,1,0.2292857142857143
2010,122987,CB,10,1,0,0,0,0,0.1407142857142857
2010,122987,CH,5,1,0,0,0,0,0.1407142857142857
2010,122987,CT,2,1,0,0,0,0,0.1407142857142857
2010,122987,FB,73,30,4,1,0,0,0.161
2010,122987,SF,2,1,0,0,0,0,0.1407142857142857
2010,122987,SL,9,6,0,0,0,0,0.1407142857142857
2010,123041,CB,42,22,2,0,0,2,0.27181818181818185
2010,123041,CH,64,37,1,2,0,0,0.09270270270270273
2010,123041,CT,38,19,1,0,0,0,0.046842105263157886
2010,123041,FB,337,197,20,2,0,4,0.14588832487309647
2010,123041,KN,8,4,0,0,0,0,0.1407142857142857
2010,123041,SF,2,1,0,0,0,0,0.1407142857142857
2010,123041,SL,98,47,2,1,0,2,0.15425531914893614
2010,123107,CB,24,10,0,0,0,0,0.1407142857142857
2010,123107,CH,39,21,2,1,0,1,0.2452380952380953
2010,123107,CT,21,10,0,0,0,0,0.1407142857142857
2010,123107,FB,151,75,4,3,0,1,0.12626666666666667
2010,123107,SF,6,2,0,0,0,0,0.1407142857142857
2010,123107,SL,45,11,0,0,0,0,0.1407142857142857
2010,123173,CB,163,85,9,2,0,2,0.17352941176470588
2010,123173,CH,203,105,11,3,0,0,0.12952380952380954
2010,123173,CT,126,70,7,4,0,0,0.1615714285714286
2010,123173,FB,1409,716,78,13,0,11,0.15227653631284915
2010,123173,KN,38,20,2,0,0,0,0.08900000000000001
2010,123173,SF,40,22,4,1,0,2,0.4104545454545455
2010,123173,SL,289,142,18,3,0,0,0.13964788732394365
2010,123272,CB,101,30,2,0,1,2,0.2533333333333333
2010,123272,CH,154,73,7,2,0,3,0.20643835616438355
2010,123272,CT,125,45,3,1,0,0,0.08755555555555555
2010,123272,FB,825,312,20,12,1,19,0.2389743589743589
2010,123272,KN,12,6,1,0,0,0,0.14833333333333334
2010,123272,SF,28,10,1,0,0,0,0.08900000000000001
2010,123272,SL,213,83,2,1,0,1,0.06204819277108434
2010,123660,CB,46,18,1,0,0,2,0.2827777777777778
2010,123660,CH,52,32,5,2,0,1,0.2840625
2010,123660,CT,45,22,0,0,0,0,0.1407142857142857
2010,123660,FB,269,123,7,3,0,4,0.14991869918699188
2010,123660,SF,10,3,0,0,0,0,0.1407142857142857
2010,123660,SL,42,18,0,1,0,0,0.07055555555555555
2010,123744,CB,71,31,3,0,0,0,0.08612903225806451
2010,123744,CH,193,96,12,1,0,0,0.12447916666666665
2010,123744,CT,32,12,1,1,0,0,0.18000000000000002
2010,123744,FB,1073,411,58,8,1,2,0.16447688564476884
2010,123744,KN,2,1,0,0,0,0,0.1407142857142857
2010,123744,SF,8,4,0,0,0,0,0.1407142857142857
2010,123744,SL,113,61,7,0,0,0,0.1021311475409836
2010,123801,CH,1,1,0,0,0,0,0.1407142857142857
2010,123801,CT,1,0,0,0,0,0,0.1407142857142857
2010,123801,FB,19,4,0,0,0,0,0.1407142857142857
2010,123801,SL,1,1,0,0,0,0,0.1407142857142857
2010,124748,CB,40,15,0,0,0,0,0.1407142857142857
2010,124748,CH,50,29,2,1,0,0,0.10517241379310344
2010,124748,CT,14,4,0,1,0,0,0.3175
2010,124748,FB,296,132,16,4,0,1,0.1622727272727273
2010,124748,KN,7,1,0,1,0,0,1.27
2010,124748,SF,11,5,0,0,0,0,0.1407142857142857
2010,124748,SL,46,26,0,0,0,1,0.08076923076923077
2010,133160,CB,76,25,1,0,0,0,0.0356
2010,133160,CH,112,53,4,1,0,0,0.09113207547169813
2010,133160,CT,31,14,0,0,1,0,0.11571428571428573
2010,133160,FB,571,269,27,7,1,4,0.15962825278810408
2010,133160,KN,10,6,0,0,0,0,0.1407142857142857
2010,133160,SF,25,18,3,0,0,0,0.14833333333333332
2010,133160,SL,68,30,0,0,0,0,0.1407142857142857
2010,133225,CB,24,13,0,0,0,0,0.1407142857142857
2010,133225,CH,6,4,0,0,0,0,0.1407142857142857
2010,133225,CT,16,10,0,0,0,0,0.1407142857142857
2010,133225,FB,131,69,6,1,0,0,0.09579710144927536
2010,133225,SF,2,0,0,0,0,0,0.1407142857142857
2010,133225,SL,33,21,1,0,0,0,0.04238095238095238
2010,133226,CB,9,5,0,0,0,0,0.1407142857142857
2010,133226,CH,10,6,1,0,0,0,0.14833333333333334
2010,133226,CT,19,11,1,0,0,0,0.08090909090909093
2010,133226,FB,153,76,5,4,0,0,0.12539473684210528
2010,133226,SL,31,17,2,0,0,0,0.10470588235294118
2010,133321,CB,50,26,3,1,0,0,0.15153846153846154
2010,133321,CH,57,28,3,0,0,0,0.09535714285714283
2010,133321,CT,36,13,3,0,0,0,0.2053846153846154
2010,133321,FB,488,200,16,4,3,0,0.1209
2010,133321,SF,19,9,1,0,0,0,0.09888888888888887
2010,133321,SL,77,40,2,1,0,0,0.07625
2010,133380,CB,180,88,7,3,0,4,0.20954545454545456
2010,133380,CH,211,127,7,2,0,7,0.1848031496062992
2010,133380,CT,136,76,2,2,0,1,0.08447368421052631
2010,133380,FB,1128,575,42,10,1,11,0.13008695652173913
2010,133380,KN,7,3,0,0,0,0,0.1407142857142857
2010,133380,SF,15,7,0,0,0,0,0.1407142857142857
2010,133380,SL,262,132,7,3,0,2,0.1078787878787879
2010,134181,CB,185,85,8,5,0,4,0.2572941176470588
2010,134181,CH,222,102,7,6,0,3,0.1975490196078432
2010,134181,CT,173,95,12,2,1,0,0.15621052631578947
2010,134181,FB,1343,745,68,32,1,17,0.18587919463087246
2010,134181,SF,28,13,1,1,0,0,0.16615384615384615
2010,134181,SL,402,184,14,3,0,4,0.13407608695652176
2010,134260,CB,136,67,10,0,0,0,0.1328358208955224
2010,134260,CH,115,69,8,2,0,1,0.17043478260869566
2010,134260,CT,88,46,5,1,0,0,0.12434782608695652
2010,134260,FB,942,450,45,11,1,3,0.13764444444444446
2010,134260,KN,6,1,0,0,0,1,2.1
2010,134260,SF,32,18,1,0,0,0,0.04944444444444445
2010,134260,SL,250,137,14,0,0,2,0.1216058394160584
2010,134320,CB,1,1,0,0,0,0,0.1407142857142857
2010,134320,CH,4,2,0,0,0,0,0.1407142857142857
2010,134320,FB,18,4,0,0,0,0,0.1407142857142857
2010,134321,CB,4,4,0,0,0,0,0.1407142857142857
2010,134321,CT,2,2,0,0,0,0,0.1407142857142857
2010,134321,FB,17,10,3,0,0,0,0.267
2010,134341,CB,14,8,1,1,0,0,0.27
2010,134341,CH,12,5,0,1,0,0,0.254
2010,134341,CT,6,3,2,0,0,0,0.5933333333333334
2010,134341,FB,74,33,2,2,1,0,0.18000000000000002
2010,134341,SL,8,3,2,0,0,0,0.5933333333333334
2010,135783,CB,46,13,0,1,0,0,0.09769230769230768
